"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"outubro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.6","0.8","-0.7"
"outubro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","3.9","6.3","3.8"
"outubro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.3","3.9","8.5"
"outubro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","7.3","4.4","7.5"
"novembro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","106.96965","85.59910","108.35531"
"novembro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.06406","86.75182","103.09114"
"novembro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.0","-0.8","0.0"
"novembro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","8.5","6.1","8.6"
"novembro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.3","4.1","8.6"
"novembro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","8.0","4.6","8.2"
"dezembro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","98.73418","87.14522","99.50009"
"dezembro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.75382","87.27671","103.69652"
"dezembro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","0.6","0.6"
"dezembro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","8.8","6.7","8.9"
"dezembro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.4","4.3","8.6"
"dezembro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","8.4","4.3","8.6"
"janeiro 2005","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","94.43859","85.23454","95.05259"
"janeiro 2005","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","103.24293","86.78880","104.39984"
"janeiro 2005","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.5","-0.6","0.7"
"janeiro 2005","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","5.5","7.4","5.4"
"janeiro 2005","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.5","7.4","5.4"
"janeiro 2005","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","8.5","5.0","8.7"
"fevereiro 2005","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","89.01654","78.03375","89.74077"
"fevereiro 2005","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","101.80556","87.90074","102.89163"
